word,vowels,consenants,count,beginning,ending,origen
kinyoubi,4,4,8,1,2,0
nichiyoubi,5,5,10,1,2,0
kotoshi,3,4,7,1,2,0
mimi,2,2,4,1,2,0
te,1,1,2,1,2,0
ashi,2,2,4,2,2,0
me,1,1,2,1,2,0
kuchi,2,3,5,1,2,0
kao,2,1,3,1,2,0
eki,2,1,3,2,2,0
kita,2,2,4,1,2,0
minami,3,3,6,1,2,0
mishi,2,3,5,1,2,0
higashi,3,4,7,1,2,0
kuni,2,2,4,1,2,0
tanoshi,3,4,7,1,2,0
gaikoku,4,3,7,1,2,0
mighi,2,3,5,1,2,0
hidari,3,3,6,1,2,0
iriguchi,4,4,8,2,2,0
deguchi,3,4,7,1,2,0
ohayou,4,2,6,2,2,0
konnichiwa,4,6,10,1,2,0
ohayougozaimasu,9,6,15,2,2,0
konbanwa,3,5,8,1,2,0
tadaima,4,3,7,1,2,0
oyasuminasai,7,5,12,2,2,0
moshimoshi,4,6,10,1,2,0
ogenkideska,5,6,11,2,2,0
oshashiburidesu,7,8,15,2,2,0
sayounara,5,4,9,1,2,0
matane,3,3,6,1,2,0
irasshiaimase,7,6,13,2,2,0
hai,2,1,3,1,2,0
iie,2,1,3,2,2,0
wakarimasen,5,6,11,1,1,0
wasuremashita,6,7,13,1,2,0
shirimasen,4,6,10,1,1,0
tabun,2,3,5,1,1,0
daijoubu,5,3,8,1,2,0
yoroshiku,4,5,9,1,2,0
doumo,3,2,5,1,2,0
onegai,4,2,6,2,2,0
shimasu,3,4,7,1,2,0
sumimasen,4,5,9,1,1,0
gomennasai,5,5,10,1,2,0
douita,4,2,6,1,2,0
douzo,3,2,5,1,2,0
nasai,3,2,5,1,2,0
kudasai,4,3,7,1,2,0
